Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (mm),Total Precip (mm),Avg Sol Rad (W/sq.m),Avg Vap Pres (kPa),Avg Max Air Temp (C),Avg Min Air Temp (C),Avg Air Temp (C),Avg Max Rel Hum (%),Avg Min Rel Hum (%),Avg Rel Hum (%),Avg Dew Point (C),Avg Wind Speed (m/s),Avg Soil Temp (C),qc
117,Victorville,San Bernardino,11-Jan,57.03,7.9,139,0.5,14.2,-0.9,6.4,82,30,52,-3.1,1.6,6.3,K
117,Victorville,San Bernardino,11-Feb,74.62,189.2,188,0.5,13.4,-0.4,6.7,76,29,49,-4.4,2.9,6.9,K
117,Victorville,San Bernardino,11-Mar,124.69,38.4,232,0.7,18.1,3.8,10.9,83,29,52,1.1,3.3,9.9,K
117,Victorville,San Bernardino,11-Apr,161.28,0.9,295,0.7,21,6.4,13.7,75,25,46,1.6,3.4,14, 
117,Victorville,San Bernardino,11-May,199.34,0.4,330,0.7,22.9,7.3,15.8,71,23,42,2.3,4,15.7, 
117,Victorville,San Bernardino,11-Jun,232.23,0.3,352,0.8,28.8,11.8,21.5,64,17,33,4.1,3.8,18.2,K
117,Victorville,San Bernardino,11-Jul,228.9,32.9,309,1.1,32.8,16.6,25.4,62,18,34,7.6,3,20.5,K
117,Victorville,San Bernardino,11-Aug,234.48,4.5,311,0.9,34.9,16.4,26.5,52,11,25,4.1,2.8,20.8,K
117,Victorville,San Bernardino,11-Sep,163.99,1.6,242,1,32.2,14.2,23.7,62,17,33,5.9,2.1,19.8, 
117,Victorville,San Bernardino,11-Oct,114.93,1.8,201,0.7,26.3,8,17.1,62,19,36,0.9,1.9,17, 
117,Victorville,San Bernardino,11-Nov,61.62,19.9,143,0.6,16.7,1.9,8.9,82,31,54,-0.6,2,11.1, 
117,Victorville,San Bernardino,11-Dec,50.45,10.8,124,0.4,13.5,-2.4,5.1,75,23,44,-7,1.6,6.1, 
117,Victorville,San Bernardino,12-Jan,67.73,1.9,143,0.4,17.5,-1.2,7.7,64,17,37,-7,1.9,6.3,K
117,Victorville,San Bernardino,12-Feb,80.97,10.2,180,0.5,15.6,0.4,8.1,74,24,45,-4,2.6,7.5, 
117,Victorville,San Bernardino,12-Mar,136.19,25.8,242,0.5,18.7,3.1,11.1,70,21,41,-2.8,3.5,10,K
